"setting","metric","quantile","target_type","target_level","threshold_value","score_mean","score_se","rel_to_gaussian","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
1,"brier",0,"threshold_quantile",0,2,0.000142988133085574,7.46591174983435e-05,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"brier",0.1,"threshold_quantile",0.1,28.875,0.0386743174355276,0.00102094098574444,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"brier",0.2,"threshold_quantile",0.2,36,0.0632565762432876,0.00176640052757183,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"brier",0.3,"threshold_quantile",0.3,41.625,0.0789514805315042,0.00167230798562504,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"brier",0.4,"threshold_quantile",0.4,46.5,0.0892828149796671,0.00072875918720796,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"brier",0.5,"threshold_quantile",0.5,50.875,0.0945824846719988,0.000801438012005502,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"brier",0.6,"threshold_quantile",0.6,55.429,0.0945824692708512,0.000248602374127063,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"brier",0.7,"threshold_quantile",0.7,60.125,0.0864978184589315,8.99797192466245e-05,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"brier",0.8,"threshold_quantile",0.8,65.5,0.0715444672419381,0.00166545309840223,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"brier",0.9,"threshold_quantile",0.9,73.25,0.045044881630345,0.00123137598059925,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"brier",0.95,"threshold_quantile",0.95,79.75,0.0270301315668394,0.00205895451591001,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"brier",0.98,"threshold_quantile",0.98,88.5,0.0129121358741124,0.00068324673182685,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
1,"brier",0.99,"threshold_quantile",0.99,94.75,0.00726353072383586,0.000585627911466105,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results","gaussian_reference"
