run_id,status,enabled,priority,runner_script,data,setting,setting_label,datasets,methods,prop_k,workers,ms_threads,iters,burn,update,thin,prop_cov_update_every,compare_after,note
phase3-00,pending,yes,0,run-prop.R,,1,"Data: Gaussian","1:2","1","c(10,20,30,40,50)",1,1,2000,1000,500,1,1,no,"Gaussian sanity check across the planned prop k grid before broader fitting."
phase3-01,pending,yes,1,run-prop.R,,4,"Data: Skew-t (K=1, lambda=3)","1:3","1:5","c(10,20,30,40,50)",2,1,4000,2000,500,1,1,yes,"Representative prop-k scan on the K=1 skew setting."
phase3-02,pending,yes,2,run-prop.R,,5,"Data: Skew-t (K=5, lambda=3)","1:3","1:5","c(10,20,30,40,50)",2,1,4000,2000,500,1,1,yes,"Main partitioned skew setting across the planned prop k grid; includes threshold methods 3 and 5."
phase3-03,pending,yes,3,run-prop.R,,7,"Data: transformed below T","1:3","(3,5)","c(10,20,30,40,50)",2,1,4000,2000,500,1,1,yes,"Threshold-focused stress test across the planned prop k grid."
phase3-04,pending,yes,4,run-prop.R,,2,"Data: Symmetric-t (K=1)","1:3","(1,2,3)","c(10,20,30,40,50)",2,1,4000,2000,500,1,1,yes,"Check whether the prop block behaves reasonably on symmetric heavy-tail data with one partition across the planned k grid."
phase3-05,pending,yes,5,run-prop.R,,3,"Data: Symmetric-t (K=5)","1:3","(1,4,5)","c(10,20,30,40,50)",2,1,4000,2000,500,1,1,yes,"Check the partitioned symmetric heavy-tail case with and without thresholding across the planned k grid."
phase3-06,pending,yes,6,run-prop.R,,5,"Data: Skew-t (K=5, lambda=3)","1:2","1:5","c(10,20,30,40,50)",2,1,6000,3000,500,1,1,yes,"Focused rerun on the main target setting across the full prop k grid."
phase4-def-1,pending,yes,10,run-prop.R,simdata_def.RData,1,"Deformed: isotropic baseline (theta=0, ratio=1)","1:3","1:5","c(10,20,30,40,50)",2,1,4000,2000,500,1,1,yes,"Deformed-covariance dataset, setting 1 (isotropic). Fit lands in fits_def/."
phase4-def-2,pending,yes,11,run-prop.R,simdata_def.RData,2,"Deformed: moderate aniso (theta=pi/4, ratio=0.5)","1:3","1:5","c(10,20,30,40,50)",2,1,4000,2000,500,1,1,yes,"Deformed-covariance dataset, setting 2 (moderate anisotropy). Fit lands in fits_def/."
phase4-def-3,pending,yes,12,run-prop.R,simdata_def.RData,3,"Deformed: strong aniso (theta=pi/6, ratio=0.25)","1:3","1:5","c(10,20,30,40,50)",2,1,4000,2000,500,1,1,yes,"Deformed-covariance dataset, setting 3 (strong anisotropy). Fit lands in fits_def/."
